Data,Último
30.11.2022,112.486
29.11.2022,110.91
28.11.2022,108.782
25.11.2022,108.977
24.11.2022,111.831
23.11.2022,108.841
22.11.2022,109.037
21.11.2022,109.748
18.11.2022,108.87
17.11.2022,109.703
16.11.2022,110.243
14.11.2022,113.161
11.11.2022,112.253
10.11.2022,109.775
09.11.2022,113.58
08.11.2022,116.16
07.11.2022,115.342
04.11.2022,118.155
03.11.2022,116.896
01.11.2022,116.929
31.10.2022,116.037
28.10.2022,114.539
27.10.2022,114.641
26.10.2022,112.764
25.10.2022,114.626
24.10.2022,116.013
21.10.2022,119.929
20.10.2022,117.171
19.10.2022,116.274
18.10.2022,115.743
17.10.2022,113.624
14.10.2022,112.072
13.10.2022,114.3
11.10.2022,114.827
10.10.2022,115.941
07.10.2022,116.375
06.10.2022,117.561
05.10.2022,117.198
04.10.2022,116.23
03.10.2022,116.134
30.09.2022,110.037
29.09.2022,107.664
28.09.2022,108.451
27.09.2022,108.376
26.09.2022,109.114
23.09.2022,111.716
22.09.2022,114.07
21.09.2022,111.936
20.09.2022,112.517
19.09.2022,111.824
16.09.2022,109.28
15.09.2022,109.954
14.09.2022,110.547
13.09.2022,110.794
12.09.2022,113.407
09.09.2022,112.3
08.09.2022,109.916
06.09.2022,109.764
05.09.2022,112.203
02.09.2022,110.864
01.09.2022,110.405
31.08.2022,109.523
30.08.2022,110.431
29.08.2022,112.323
26.08.2022,112.299
25.08.2022,113.532
24.08.2022,112.898
23.08.2022,112.857
22.08.2022,110.501
19.08.2022,111.496
18.08.2022,113.813
17.08.2022,113.708
16.08.2022,113.512
15.08.2022,113.032
12.08.2022,112.764
11.08.2022,109.718
10.08.2022,110.236
09.08.2022,108.651
08.08.2022,108.402
05.08.2022,106.472
04.08.2022,105.892
03.08.2022,103.775
02.08.2022,103.362
01.08.2022,102.225
29.07.2022,103.165
28.07.2022,102.597
27.07.2022,101.438
26.07.2022,99.772
25.07.2022,100.27
22.07.2022,98.925
21.07.2022,99.033
20.07.2022,98.287
19.07.2022,98.245
18.07.2022,96.916
15.07.2022,96.551
14.07.2022,96.121
13.07.2022,97.881
12.07.2022,98.271
11.07.2022,98.212
08.07.2022,100.289
07.07.2022,100.73
06.07.2022,98.719
05.07.2022,98.295
04.07.2022,98.609
01.07.2022,98.954
30.06.2022,98.542
29.06.2022,99.622
28.06.2022,100.591
27.06.2022,100.764
24.06.2022,98.672
23.06.2022,98.08
22.06.2022,99.522
21.06.2022,99.685
20.06.2022,99.853
17.06.2022,99.825
15.06.2022,102.807
14.06.2022,102.063
13.06.2022,102.598
10.06.2022,105.481
09.06.2022,107.094
08.06.2022,108.368
07.06.2022,110.07
06.06.2022,110.186
03.06.2022,111.102
02.06.2022,112.393
01.06.2022,111.36
31.05.2022,111.351
30.05.2022,111.032
27.05.2022,111.942
26.05.2022,111.89
25.05.2022,110.58
24.05.2022,110.581
23.05.2022,110.346
20.05.2022,108.488
19.05.2022,107.005
18.05.2022,106.247
17.05.2022,108.789
16.05.2022,108.233
13.05.2022,106.924
12.05.2022,105.688
11.05.2022,104.397
10.05.2022,103.11
09.05.2022,103.25
06.05.2022,105.135
05.05.2022,105.304
04.05.2022,108.344
03.05.2022,106.528
02.05.2022,106.639
29.04.2022,107.876
28.04.2022,109.919
27.04.2022,109.349
26.04.2022,108.213
25.04.2022,110.685
22.04.2022,111.078
20.04.2022,114.344
19.04.2022,115.057
18.04.2022,115.687
14.04.2022,116.182
13.04.2022,116.782
12.04.2022,116.147
11.04.2022,116.953
08.04.2022,118.322
07.04.2022,118.862
06.04.2022,118.228
05.04.2022,118.885
04.04.2022,121.28
01.04.2022,121.57
31.03.2022,119.999
30.03.2022,120.26
29.03.2022,120.014
28.03.2022,118.738
25.03.2022,119.081
24.03.2022,119.053
23.03.2022,117.457
22.03.2022,117.272
21.03.2022,116.155
18.03.2022,115.311
17.03.2022,113.076
16.03.2022,111.112
15.03.2022,108.959
14.03.2022,109.928
11.03.2022,111.713
10.03.2022,113.663
09.03.2022,113.9
08.03.2022,111.203
07.03.2022,111.593
04.03.2022,114.474
03.03.2022,115.166
02.03.2022,115.174
25.02.2022,113.142
24.02.2022,111.592
23.02.2022,112.008
22.02.2022,112.892
21.02.2022,111.725
18.02.2022,112.88
17.02.2022,113.528
16.02.2022,115.181
15.02.2022,114.828
14.02.2022,113.899
11.02.2022,113.572
10.02.2022,113.368
09.02.2022,112.461
08.02.2022,112.234
07.02.2022,111.996
04.02.2022,112.245
03.02.2022,111.696
02.02.2022,111.894
01.02.2022,113.228
31.01.2022,112.144
28.01.2022,111.91
27.01.2022,112.612
26.01.2022,111.289
25.01.2022,110.204
24.01.2022,107.937
21.01.2022,108.942
20.01.2022,109.102
19.01.2022,108.013
18.01.2022,106.668
17.01.2022,106.374
14.01.2022,106.928
13.01.2022,105.53
12.01.2022,105.686
11.01.2022,103.779
10.01.2022,101.945
07.01.2022,102.719
06.01.2022,101.561
05.01.2022,101.006
04.01.2022,103.514
03.01.2022,103.922
30.12.2021,104.822
29.12.2021,104.107
28.12.2021,104.864
27.12.2021,105.554
23.12.2021,104.891
22.12.2021,105.244
21.12.2021,105.5
20.12.2021,105.02
17.12.2021,107.201
16.12.2021,108.326
15.12.2021,107.431
14.12.2021,106.76
13.12.2021,107.383
10.12.2021,107.758
09.12.2021,106.291
08.12.2021,108.096
07.12.2021,107.558
06.12.2021,106.859
03.12.2021,105.07
02.12.2021,104.466
01.12.2021,100.775
30.11.2021,101.915
29.11.2021,102.814
26.11.2021,102.224
25.11.2021,105.811
24.11.2021,104.514
23.11.2021,103.654
22.11.2021,102.122
19.11.2021,103.035
18.11.2021,102.426
17.11.2021,102.948
16.11.2021,104.404
12.11.2021,106.335
11.11.2021,107.595
10.11.2021,105.968
09.11.2021,105.535
08.11.2021,104.781
05.11.2021,104.824
04.11.2021,103.412
03.11.2021,105.617
01.11.2021,105.551
29.10.2021,103.501
28.10.2021,105.705
27.10.2021,106.363
26.10.2021,106.42
25.10.2021,108.715
22.10.2021,106.296
21.10.2021,107.735
20.10.2021,110.786
19.10.2021,110.673
18.10.2021,114.428
15.10.2021,114.648
14.10.2021,113.185
13.10.2021,113.456
11.10.2021,112.18
08.10.2021,112.833
07.10.2021,110.585
06.10.2021,110.56
05.10.2021,110.458
04.10.2021,110.393
01.10.2021,112.9
30.09.2021,110.979
29.09.2021,111.107
28.09.2021,110.124
27.09.2021,113.583
24.09.2021,113.283
23.09.2021,114.064
22.09.2021,112.282
21.09.2021,110.25
20.09.2021,108.844
17.09.2021,111.439
16.09.2021,113.794
15.09.2021,115.063
