Data,Último,ID,TIPO
04.08.2023,119.508,232,IBOVESPA
03.08.2023,120.586,233,IBOVESPA
02.08.2023,120.859,234,IBOVESPA
01.08.2023,121.248,235,IBOVESPA
31.07.2023,121.943,236,IBOVESPA
28.07.2023,120.187,237,IBOVESPA
27.07.2023,119.99,238,IBOVESPA
26.07.2023,122.56,239,IBOVESPA
25.07.2023,122.008,240,IBOVESPA
24.07.2023,121.342,241,IBOVESPA
21.07.2023,120.217,242,IBOVESPA
20.07.2023,118.083,243,IBOVESPA
19.07.2023,117.552,244,IBOVESPA
18.07.2023,117.841,245,IBOVESPA
17.07.2023,118.219,246,IBOVESPA
14.07.2023,117.711,247,IBOVESPA
13.07.2023,119.264,248,IBOVESPA
12.07.2023,117.666,249,IBOVESPA
11.07.2023,117.556,250,IBOVESPA
10.07.2023,117.942,251,IBOVESPA
07.07.2023,118.898,252,IBOVESPA
06.07.2023,117.426,253,IBOVESPA
05.07.2023,119.549,254,IBOVESPA
04.07.2023,119.076,255,IBOVESPA
03.07.2023,119.673,256,IBOVESPA
30.06.2023,118.087,257,IBOVESPA
29.06.2023,118.383,258,IBOVESPA
28.06.2023,116.681,259,IBOVESPA
27.06.2023,117.523,260,IBOVESPA
26.06.2023,118.243,261,IBOVESPA
23.06.2023,118.977,262,IBOVESPA
22.06.2023,118.934,263,IBOVESPA
21.06.2023,120.42,264,IBOVESPA
20.06.2023,119.622,265,IBOVESPA
19.06.2023,119.858,266,IBOVESPA
16.06.2023,118.758,267,IBOVESPA
15.06.2023,119.221,268,IBOVESPA
14.06.2023,119.069,269,IBOVESPA
13.06.2023,116.743,270,IBOVESPA
12.06.2023,117.336,271,IBOVESPA
09.06.2023,117.019,272,IBOVESPA
07.06.2023,115.488,273,IBOVESPA
06.06.2023,114.61,274,IBOVESPA
05.06.2023,112.696,275,IBOVESPA
02.06.2023,112.558,276,IBOVESPA
01.06.2023,110.565,277,IBOVESPA
31.05.2023,108.335,278,IBOVESPA
30.05.2023,108.967,279,IBOVESPA
29.05.2023,110.333,280,IBOVESPA
26.05.2023,110.906,281,IBOVESPA
25.05.2023,110.054,282,IBOVESPA
24.05.2023,108.8,283,IBOVESPA
23.05.2023,109.929,284,IBOVESPA
22.05.2023,110.213,285,IBOVESPA
19.05.2023,110.745,286,IBOVESPA
18.05.2023,110.108,287,IBOVESPA
17.05.2023,109.46,288,IBOVESPA
16.05.2023,108.194,289,IBOVESPA
15.05.2023,109.029,290,IBOVESPA
12.05.2023,108.464,291,IBOVESPA
11.05.2023,108.256,292,IBOVESPA
10.05.2023,107.448,293,IBOVESPA
09.05.2023,107.114,294,IBOVESPA
08.05.2023,106.042,295,IBOVESPA
05.05.2023,105.148,296,IBOVESPA
04.05.2023,102.174,297,IBOVESPA
03.05.2023,101.797,298,IBOVESPA
02.05.2023,101.927,299,IBOVESPA
28.04.2023,104.432,300,IBOVESPA
27.04.2023,102.923,301,IBOVESPA
26.04.2023,102.312,302,IBOVESPA
25.04.2023,103.22,303,IBOVESPA
24.04.2023,103.947,304,IBOVESPA
20.04.2023,104.367,305,IBOVESPA
19.04.2023,103.913,306,IBOVESPA
18.04.2023,106.163,307,IBOVESPA
17.04.2023,106.016,308,IBOVESPA
14.04.2023,106.279,309,IBOVESPA
13.04.2023,106.458,310,IBOVESPA
12.04.2023,106.89,311,IBOVESPA
11.04.2023,106.214,312,IBOVESPA
10.04.2023,101.847,313,IBOVESPA
06.04.2023,100.822,314,IBOVESPA
05.04.2023,100.978,315,IBOVESPA
04.04.2023,101.869,316,IBOVESPA
03.04.2023,101.506,317,IBOVESPA
31.03.2023,101.882,318,IBOVESPA
30.03.2023,103.713,319,IBOVESPA
